ID;Name;Associated Groups;Description
G0025;APT17;Deputy Dog;is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations.
G0026;APT18;TG-0416, Dynamite Panda, Threat Group-0416;is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical.
G0073;APT19;Codoso, C0d0so0, Codoso Team, Sunshop Group;is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms.  Some analysts trackandDeep Pandaas the same group, but it is unclear from open source information if the groups are the same.
G0007;APT28;IRON TWILIGHT, SNAKEMACKEREL, Swallowtail, Group 74, Sednit, Sofacy, Pawn Storm, Fancy Bear, STRONTIUM, Tsar Team, Threat Group-4127, TG-4127, Forest Blizzard, FROZENLAKE;is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165. This group has been active since at least 2004.reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election. In 2018, the US indicted five GRU Unit 26165 officers associated withfor cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations. Some of these were conducted with the assistance of GRU Unit 74455, which is also referred to asSandworm Team.
G0016;APT29;IRON RITUAL, IRON HEMLOCK, NobleBaron, Dark Halo, StellarParticle, NOBELIUM, UNC2452, YTTRIUM, The Dukes, Cozy Bear, CozyDuke, SolarStorm, Blue Kitsune, UNC3524, Midnight Blizzard;"is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR). They have operated since at least 2008, often targeting government networks in Europe and NATO member countries, research institutes, and think tanks.reportedly compromised the Democratic National Committee starting in the summer of 2015.In April 2021, the US and UK governments attributed theSolarWinds Compromiseto the SVR; public statements included citations to, Cozy Bear, and The Dukes. Industry reporting also referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and SolarStorm."
G0022;APT3;Gothic Panda, Pirpi, UPS Team, Buckeye, Threat Group-0110, TG-0110;is a China-based threat group that researchers have attributed to China's Ministry of State Security. This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap. As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.
G0013;APT30;;is a threat group suspected to be associated with the Chinese government. WhileNaikonshares some characteristics with, the two groups do not appear to be exact matches.
G0050;APT32;SeaLotus, OceanLotus, APT-C-00, Canvas Cyclone, BISMUTH;is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia. They have extensively used strategic web compromises to compromise victims.
G0064;APT33;HOLMIUM, Elfin, Peach Sandstorm;is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the United States, Saudi Arabia, and South Korea, with a particular interest in the aviation and energy sectors.
G0067;APT37;InkySquid, ScarCruft, Reaper, Group123, TEMP.Reaper, Ricochet Chollima;is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China, India, Romania, Kuwait, and other parts of the Middle East.has also been linked to the following campaigns between 2016-2018: Operation Daybreak, Operation Erebus, Golden Time, Evil New Year, Are you Happy?, FreeMilk, North Korean Human Rights, and Evil New Year 2018.North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the nameLazarus Groupinstead of tracking clusters or subgroups.
G0082;APT38;NICKEL GLADSTONE, BeagleBoyz, Bluenoroff, Stardust Chollima, Sapphire Sleet, COPERNICIUM;"is a North Korean state-sponsored threat group that specializes in financial cyber operations; it has been attributed to the Reconnaissance General Bureau. Active since at least 2014,has targeted banks, financial institutions, casinos, cryptocurrency exchanges, SWIFT system endpoints, and ATMs in at least 38 countries worldwide. Significant operations include the 2016 Bank of Bangladesh heist, during whichstole $81 million, as well as attacks against Bancomext  and Banco de Chile ; some of their attacks have been destructive.North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the nameLazarus Groupinstead of tracking clusters or subgroups."
G0087;APT39;ITG07, Chafer, Remix Kitten;is one of several names for cyber espionage activity conducted by the Iranian Ministry of Intelligence and Security (MOIS) through the front company Rana Intelligence Computing since at least 2014.has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS.
G0096;APT41;Wicked Panda, Brass Typhoon, BARIUM;is a threat group that researchers have assessed as Chinese state-sponsored espionage group that also conducts financially-motivated operations. Active since at least 2012,has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries.overlaps at least partially with public reporting on groups including BARIUM andWinnti Group.
G1023;APT5;Mulberry Typhoon, MANGANESE, BRONZE FLEETWOOD, Keyhole Panda, UNC2630;is a China-based espionage actor that has been active since at least 2007 primarily targeting the telecommunications, aerospace, and defense industries throughout the U.S., Europe, and Asia.has displayed advanced tradecraft and significant interest in compromising networking devices and their underlying software including through the use of zero-day exploits.
G0143;Aquatic Panda;;is a suspected China-based threat group with a dual mission of intelligence collection and industrial espionage. Active since at least May 2020,has primarily targeted entities in the telecommunications, technology, and government sectors.
G0001;Axiom;Group 72;is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008. Some reporting suggests a degree of overlap betweenandWinnti Groupbut the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
G0135;BackdoorDiplomacy;;is a cyber espionage threat group that has been active since at least 2017.has targeted Ministries of Foreign Affairs and telecommunication companies in Africa, Europe, the Middle East, and Asia.
G1002;BITTER;T-APT-17;is a suspected South Asian cyber espionage threat group that has been active since at least 2013.has targeted government, energy, and engineering organizations in Pakistan, China, Bangladesh, and Saudi Arabia.
G0063;BlackOasis;;is a Middle Eastern threat group that is believed to be a customer of Gamma Group. The group has shown interest in prominent figures in the United Nations, as well as opposition bloggers, activists, regional news correspondents, and think tanks.   A group known by Microsoft asNEODYMIUMis reportedly associated closely withoperations, but evidence that the group names are aliases has not been identified.
G0098;BlackTech;Palmerworm;is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013.has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks.
G0108;Blue Mockingbird;;is a cluster of observed activity involving Monero cryptocurrency-mining payloads in dynamic-link library (DLL) form on Windows systems. The earliest observed  tools were created in December 2019.
G0097;Bouncing Golf;;is a cyberespionage campaign targeting Middle Eastern countries.
G0060;BRONZE BUTLER;REDBALDKNIGHT, Tick;is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in government, biotechnology, electronics manufacturing, and industrial chemistry.
G0008;Carbanak;Anunak;is a cybercriminal group that has usedmalware to target financial institutions since at least 2013.may be linked to groups tracked separately asCobalt GroupandFIN7that have also usedmalware.
G0114;Chimera;;is a suspected China-based threat group that has been active since at least 2018 targeting the semiconductor industry in Taiwan as well as data from the airline industry.
G1021;Cinnamon Tempest;DEV-0401, Emperor Dragonfly, BRONZE STARLIGHT;is a China-based threat group that has been active since at least 2021 deploying multiple strains of ransomware based on the leakedBabuksource code.does not operate their ransomware on an affiliate model or purchase access but appears to act independently in all stages of the attack lifecycle. Based on victimology, the short lifespan of each ransomware variant, and use of malware attributed to government-sponsored threat groups,may be motivated by intellectual property theft or cyberespionage rather than financial gain.
G0003;Cleaver;Threat Group 2889, TG-2889;is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation .  Strong circumstantial evidence suggests  is linked to Threat Group 2889 (TG-2889).
G0080;Cobalt Group;GOLD KINGSWOOD, Cobalt Gang, Cobalt Spider;is a financially motivated threat group that has primarily targeted financial institutions since at least 2016. The group has conducted intrusions to steal money via targeting ATM systems, card processing, payment systems and SWIFT systems.has mainly targeted banks in Eastern Europe, Central Asia, and Southeast Asia. One of the alleged leaders was arrested in Spain in early 2018, but the group still appears to be active. The group has been known to target organizations in order to use their access to then compromise additional victims. Reporting indicates there may be links betweenand both the malwareCarbanakand the groupCarbanak.
G0142;Confucius;Confucius APT;is a cyber espionage group that has primarily targeted military personnel, high-profile personalities, business persons, and government organizations in South Asia since at least 2013. Security researchers have noted similarities betweenandPatchwork, particularly in their respective custom malware code and targets.
G0052;CopyKittens;;is an Iranian cyber espionage group that has been operating since at least 2013. It has targeted countries including Israel, Saudi Arabia, Turkey, the U.S., Jordan, and Germany. The group is responsible for the campaign known as Operation Wilted Tulip.
G1012;CURIUM;Crimson Sandstorm, TA456, Tortoise Shell;is an Iranian threat group first reported in November 2021 that has invested in building a relationship with potential targets via social media over a period of months to establish trust and confidence before sending malware. Security researchers notehas demonstrated great patience and persistence by chatting with potential targets daily and sending benign files to help lower their security consciousness.
G1027;CyberAv3ngers;Soldiers of Soloman;Theare a suspected Iranian Government Islamic Revolutionary Guard Corps (IRGC)-affiliated APT group. Thehave been known to be active since at least 2020, with disputed and false claims of critical infrastructure compromises in Israel.In 2023, theengaged in a global targeting and hacking of the UnitronicsProgrammable Logic Controller (PLC)withHuman-Machine Interface (HMI). This PLC can be found in multiple sectors, including water and wastewater, energy, food and beverage manufacturing, and healthcare. The most notable feature of this attack was the defacement of the devices user interface.
G0070;Dark Caracal;;is threat group that has been attributed to the Lebanese General Directorate of General Security (GDGS) and has operated since at least 2012.
G0012;Darkhotel;DUBNIUM, Zigzag Hail;is a suspected South Korean threat group that has targeted victims primarily in East Asia since at least 2004. The group's name is based on cyber espionage operations conducted via hotel Internet networks against traveling executives and other select guests.has also conducted spearphishing campaigns and infected victims through peer-to-peer and file sharing networks.
G0079;DarkHydrus;;is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and custom payloads for carrying out attacks.
G0105;DarkVishnya;;is a financially motivated threat actor targeting financial institutions in Eastern Europe. In 2017-2018 the group attacked at least 8 banks in this region.
G0009;Deep Panda;Shell Crew, WebMasters, KungFu Kittens, PinkPanther, Black Vine;is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications.  The intrusion into healthcare company Anthem has been attributed to.  This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther.also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion.  Some analysts trackandAPT19as the same group, but it is unclear from open source information if the groups are the same.
G0035;Dragonfly;TEMP.Isotope, DYMALLOY, Berserk Bear, TG-4192, Crouching Yeti, IRON LIBERTY, Energetic Bear, Ghost Blizzard, BROMINE;is a cyber espionage group that has been attributed to Russia's Federal Security Service (FSB) Center 16. Active since at least 2010,has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks.
G0017;DragonOK;;is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools,is thought to have a direct or indirect relationship with the threat groupMoafee.  It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, PoisonIvy, FormerFirstRat, NFlog, and NewCT.
G1006;Earth Lusca;TAG-22, Charcoal Typhoon, CHROMIUM, ControlX;"is a suspected China-based cyber espionage group that has been active since at least April 2019.has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States. Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess someoperations may be financially motivated.has used malware commonly used by other Chinese threat groups, includingAPT41and theWinnti Groupcluster, however security researchers assess's techniques and infrastructure are separate."
G0066;Elderwood;Elderwood Gang, Beijing Group, Sneaky Panda;is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora.  The group has targeted defense organizations, supply chain manufacturers, human rights and nongovernmental organizations (NGOs), and IT service providers.
G1003;Ember Bear;Saint Bear, UNC2589, UAC-0056, Lorec53, Lorec Bear, Bleeding Bear;is a suspected Russian state-sponsored cyber espionage group that has been active since at least March 2021.has primarily focused their operations against Ukraine and Georgia, but has also targeted Western European and North American foreign ministries, pharmaceutical companies, and financial sector organizations. Security researchers assesslikely conducted theWhisperGatedestructive wiper attacks against Ukraine in early 2022.
G0020;Equation;;is a sophisticated threat group that employs multiple remote access tools. The group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives.
G0120;Evilnum;;is a financially motivated threat group that has been active since at least 2018.
G1011;EXOTIC LILY;;is a financially motivated group that has been closely linked withWizard Spiderand the deployment of ransomware includingContiandDiavol.may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021.
G0137;Ferocious Kitten;;is a threat group that has primarily targeted Persian-speaking individuals in Iran since at least 2015.
G0051;FIN10;;is a financially motivated threat group that has targeted organizations in North America since at least 2013 through 2016. The group uses stolen data exfiltrated from victims to extort organizations.
G1016;FIN13;Elephant Beetle;is a financially motivated cyber threat group that has targeted the financial, retail, and hospitality industries in Mexico and Latin America, as early as 2016.achieves its objectives by stealing intellectual property, financial data, mergers and acquisition information, or PII.
G0085;FIN4;;is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding healthcare and pharmaceutical companies, since at least 2013.is unique in that they do not infect victims with typical persistent malware, but rather they focus on capturing credentials authorized to access email and other non-public correspondence.
G0053;FIN5;;is a financially motivated threat group that has targeted personally identifiable information and payment card information. The group has been active since at least 2008 and has targeted the restaurant, gaming, and hotel industries. The group is made up of actors who likely speak Russian.
G0037;FIN6;Magecart Group 6, ITG08, Skeleton Spider, TAAL, Camouflage Tempest;is a cyber crime group that has stolen payment card data and sold it for profit on underground marketplaces. This group has aggressively targeted and compromised point of sale (PoS) systems in the hospitality and retail sectors.
G0046;FIN7;GOLD NIAGARA, ITG14, Carbon Spider, ELBRUS, Sangria Tempest;is a financially-motivated threat group that has been active since 2013.has primarily targeted the retail, restaurant, hospitality, software, consulting, financial services, medical equipment, cloud services, media, food and beverage, transportation, and utilities industries in the U.S. A portion ofwas run out of a front company called Combi Security and often used point-of-sale malware for targeting efforts. Since 2020,shifted operations to a big game hunting (BGH) approach including use ofREvilransomware and their own Ransomware as a Service (RaaS), Darkside.  may be linked to theCarbanakGroup, but there appears to be several groups usingCarbanakmalware and are therefore tracked separately.
G0061;FIN8;Syssphinx;is a financially motivated threat group that has been active since at least January 2016, and known for targeting organizations in the hospitality, retail, entertainment, insurance, technology, chemical, and financial sectors. In June 2021, security researchers detectedswitching from targeting point-of-sale (POS) devices to distributing a number of ransomware variants.
G0117;Fox Kitten;UNC757, Parisite, Pioneer Kitten, RUBIDIUM, Lemon Sandstorm;is threat actor with a suspected nexus to the Iranian government that has been active since at least 2017 against entities in the Middle East, North Africa, Europe, Australia, and North America.has targeted multiple industrial verticals including oil and gas, technology, government, defense, healthcare, manufacturing, and engineering.
G0093;GALLIUM;Granite Typhoon;is a cyberespionage group that has been active since at least 2012, primarily targeting telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam. This group is particularly known for launching Operation Soft Cell, a long-term campaign targeting telecommunications providers. Security researchers have identifiedas a likely Chinese state-sponsored group, based in part on tools used and TTPs commonly associated with Chinese threat actors.
G0084;Gallmaker;;is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017. The group has mainly targeted victims in the defense, military, and government sectors.
G0047;Gamaredon Group;IRON TILDEN, Primitive Bear, ACTINIUM, Armageddon, Shuckworm, DEV-0157, Aqua Blizzard;"is a suspected Russian cyber espionage threat group that has targeted military, NGO, judiciary, law enforcement, and non-profit organizations in Ukraine since at least 2013. The namecomes from a misspelling of the word ""Armageddon"", which was detected in the adversary's early campaigns.In November 2021, the Ukrainian government publicly attributedto Russia's Federal Security Service (FSB) Center 18."
G0036;GCMAN;;is a threat group that focuses on targeting banks for the purpose of transferring money to e-currency services.
G0115;GOLD SOUTHFIELD;Pinchy Spider;is a financially motivated threat group active since at least 2018 that operates theREvilRansomware-as-a Service (RaaS).provides backend infrastructure for affiliates recruited on underground forums to perpetrate high value deployments. By early 2020,started capitalizing on the new trend of stealing data and further extorting the victim to pay for their data to not get publicly leaked.
G0078;Gorgon Group;;is a threat group consisting of members who are suspected to be Pakistan-based or have other connections to Pakistan. The group has performed a mix of criminal and targeted attacks, including campaigns against government organizations in the United Kingdom, Spain, Russia, and the United States.
G0043;Group5;;is a threat group with a suspected Iranian nexus, though this attribution is not definite. The group has targeted individuals connected to the Syrian opposition via spearphishing and watering holes, normally using Syrian and Iranian themes.has used two commonly available remote access tools (RATs),njRATandNanoCore, as well as an Android RAT, DroidJack.
G0125;HAFNIUM;Operation Exchange Marauder, Silk Typhoon;is a likely state-sponsored cyber espionage group operating out of China that has been active since at least January 2021.primarily targets entities in the US across a number of industry sectors, including infectious disease researchers, law firms, higher education institutions, defense contractors, policy think tanks, and NGOs.
G1001;HEXANE;Lyceum, Siamesekitten, Spirlin;is a cyber espionage threat group that has targeted oil & gas, telecommunications, aviation, and internet service provider organizations since at least 2017. Targeted companies have been located in the Middle East and Africa, including Israel, Saudi Arabia, Kuwait, Morocco, and Tunisia.'s TTPs appear similar toAPT33andOilRigbut due to differences in victims and tools it is tracked as a separate entity.
G0126;Higaisa;;"is a threat group suspected to have South Korean origins.has targeted government, public, and trade organizations in North Korea; however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations.was first disclosed in early 2019 but is assessed to have operated as early as 2009."
G0100;Inception;Inception Framework, Cloud Atlas;is a cyber espionage group active since at least 2014. The group has targeted multiple industries and governmental entities primarily in Russia, but has also been active in the United States and throughout Europe, Asia, Africa, and the Middle East.
G0136;IndigoZebra;;is a suspected Chinese cyber espionage group that has been targeting Central Asian governments since at least 2014.
G0119;Indrik Spider;Evil Corp, Manatee Tempest, DEV-0243;is a Russia-based cybercriminal group that has been active since at least 2014.initially started with theDridexbanking Trojan, and then by 2017 they began running ransomware operations usingBitPaymer,WastedLocker, and Hades ransomware. Following U.S. sanctions and an indictment in 2019,changed their tactics and diversified their toolset.
G0004;Ke3chang;APT15, Mirage, Vixen Panda, GREF, Playful Dragon, RoyalAPT, NICKEL, Nylon Typhoon;is a threat group attributed to actors operating out of China.has targeted oil, government, diplomatic, military, and NGOs in Central and South America, the Caribbean, Europe, and North America since at least 2010.
G0094;Kimsuky;Black Banshee, Velvet Chollima, Emerald Sleet, THALLIUM;"is a North Korea-based cyber espionage group that has been active since at least 2012. The group initially focused on targeting South Korean government entities, think tanks, and individuals identified as experts in various fields, and expanded its operations to include the United States, Russia, Europe, and the UN.has focused its intelligence collection activities on foreign policy and national security issues related to the Korean peninsula, nuclear policy, and sanctions.was assessed to be responsible for the 2014 Korea Hydro & Nuclear Power Co. compromise; other notable campaigns include Operation STOLEN PENCIL (2018), Operation Kabar Cobra (2019), and Operation Smoke Screen (2019).North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the nameLazarus Groupinstead of tracking clusters or subgroups."
G1004;LAPSUS$;DEV-0537, Strawberry Tempest;is cyber criminal threat group that has been active since at least mid-2021.specializes in large-scale social engineering and extortion operations, including destructive attacks without the use of ransomware. The group has targeted organizations globally, including in the government, manufacturing, higher education, energy, healthcare, technology, telecommunications, and media sectors.
G0032;Lazarus Group;Labyrinth Chollima, HIDDEN COBRA, Guardians of Peace, ZINC, NICKEL ACADEMY, Diamond Sleet;is a North Korean state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau. The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named Operation Blockbuster by Novetta. Malware used bycorrelates to other reported campaigns, including Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain.North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the nameinstead of tracking clusters or subgroups, such asAndariel,APT37,APT38, andKimsuky.
G0140;LazyScripter;;is threat group that has mainly targeted the airlines industry since at least 2018, primarily using open-source toolsets.
G0077;Leafminer;Raspite;is an Iranian threat group that has targeted government organizations and business entities in the Middle East since at least early 2017.
G0065;Leviathan;MUDCARP, Kryptonite Panda, Gadolinium, BRONZE MOHAWK, TEMP.Jumper, APT40, TEMP.Periscope, Gingham Typhoon;is a Chinese state-sponsored cyber espionage group that has been attributed to the Ministry of State Security's (MSS) Hainan State Security Department and an affiliated front company. Active since at least 2009,has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the Middle East, and Southeast Asia.
G0030;Lotus Blossom;DRAGONFISH, Spring Dragon, RADIUM, Raspberry Typhoon;is a threat group that has targeted government and military organizations in Southeast Asia.
G1014;LuminousMoth;;is a Chinese-speaking cyber espionage group that has been active since at least October 2020.has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia. Some security researchers have concluded there is a connection betweenandMustang Pandabased on similar targeting and TTPs, as well as network infrastructure overlaps.
G0095;Machete;APT-C-43, El Machete;is a suspected Spanish-speaking cyber espionage group that has been active since at least 2010. It has primarily focused its operations within Latin America, with a particular emphasis on Venezuela, but also in the US, Europe, Russia, and parts of Asia.generally targets high-profile organizations such as government institutions, intelligence services, and military units, as well as telecommunications and power companies.
G0059;Magic Hound;TA453, COBALT ILLUSION, Charming Kitten, ITG18, Phosphorus, Newscaster, APT35, Mint Sandstorm;is an Iranian-sponsored threat group that conducts long term, resource-intensive cyber espionage operations, likely on behalf of the Islamic Revolutionary Guard Corps. They have targeted European, U.S., and Middle Eastern government and military personnel, academics, journalists, and organizations such as the World Health Organization (WHO), via complex social engineering campaigns since at least 2014.
G1026;Malteiro;;is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019. The group operates and distributes theMispadubanking trojan via a Malware-as-a-Service (MaaS) business model.mainly targets victims throughout Latin America (particularly Mexico) and Europe (particularly Spain and Portugal).
G0045;menuPass;Cicada, POTASSIUM, Stone Panda, APT10, Red Apollo, CVNX, HOGFISH, BRONZE RIVERSIDE;is a threat group that has been active since at least 2006. Individual members ofare known to have acted in association with the Chinese Ministry of State Security's (MSS) Tianjin State Security Bureau and worked for the Huaying Haitai Science and Technology Development Company.has targeted healthcare, defense, aerospace, finance, maritime, biotechnology, energy, and government sectors globally, with an emphasis on Japanese organizations. In 2016 and 2017, the group is known to have targeted managed IT service providers (MSPs), manufacturing and mining companies, and a university.
G1013;Metador;;"is a suspected cyber espionage group that was first reported in September 2022.has targeted a limited number of telecommunication companies, internet service providers, and universities in the Middle East and Africa. Security researchers named the groupbased on the ""I am meta"" string in one of the group's malware samples and the expectation of Spanish-language responses from C2 servers."
G0002;Moafee;;is a threat group that appears to operate from the Guandong Province of China. Due to overlapping TTPs, including similar custom tools,  is thought to have a direct or indirect relationship with the threat groupDragonOK.
G0103;Mofang;;is a likely China-based cyber espionage group, named for its frequent practice of imitating a victim's infrastructure. This adversary has been observed since at least May 2012 conducting focused attacks against government and critical infrastructure in Myanmar, as well as several other countries and sectors including military, automobile, and weapons industries.
G0021;Molerats;Operation Molerats, Gaza Cybergang;is an Arabic-speaking, politically-motivated threat group that has been operating since 2012. The group's victims have primarily been in the Middle East, Europe, and the United States.
G1009;Moses Staff;DEV-0500, Marigold Sandstorm;is a suspected Iranian threat group that has primarily targeted Israeli companies since at least September 2021.openly stated their motivation in attacking Israeli companies is to cause damage by leaking stolen sensitive data and encrypting the victim's networks without a ransom demand.Security researchers assessis politically motivated, and has targeted government, finance, travel, energy, manufacturing, and utility companies outside of Israel as well, including those in Italy, India, Germany, Chile, Turkey, the UAE, and the US.
G1019;MoustachedBouncer;;is a cyberespionage group that has been active since at least 2014 targeting foreign embassies in Belarus.
G0069;MuddyWater;Earth Vetala, MERCURY, Static Kitten, Seedworm, TEMP.Zagros, Mango Sandstorm, TA450;is a cyber espionage group assessed to be a subordinate element within Iran's Ministry of Intelligence and Security (MOIS). Since at least 2017,has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural gas organizations, in the Middle East, Asia, Africa, Europe, and North America.
